circle_id,point_index,python_x_psi,matlab_x_psi,x_absolute_error_psi,x_relative_error,python_y_psi,matlab_y_psi,y_absolute_error_psi,y_relative_error
circle2,31,2026.9600319330548,2027.0,0.039968066945220926,1.9717842597543625e-05,416.2849273173857,416.28,0.00492731738575003,1.183654604052568e-05
circle2,32,2013.612733805251,2013.6,0.01273380525117318,6.323900104873451e-06,424.8627149747572,424.86,0.00271497475716842,6.390280932938897e-06
circle2,33,2000.0,2000.0,0.0,0.0,433.01270189221935,433.01,0.0027018922193633443,6.239791735441086e-06
circle2,34,1986.1355373863416,1986.1,0.03553738634172987,1.789304986744367e-05,440.72668172379105,440.73,0.003318276208972293,7.529045467683826e-06
circle2,35,1972.0333063028866,1972.0,0.033306302886558115,1.688960592624651e-05,447.9968871456679,448.0,0.0031128543320733115,6.948335562663642e-06
circle2,36,1957.707506500943,1957.7,0.007506500943009087,3.834346908621896e-06,454.8159976772592,454.82,0.004002322740802811,8.7997949536142e-06
circle2,37,1943.1725628465647,1943.2,0.027437153435357686,1.4119572578920177e-05,461.17714705229076,461.18,0.002852947709243381,6.18619131194627e-06
circle2,38,1928.4431107959363,1928.4,0.04311079593617251,2.2355733217264314e-05,467.0739301325533,467.07,0.0039301325533074305,8.414440133828827e-06
circle2,39,1913.5339816587111,1913.5,0.03398165871112724,1.7758901861054215e-05,472.5004093573342,472.5,0.0004093573342061063,8.663647284785319e-07
circle2,40,1898.4601876641373,1898.5,0.03981233586273447,2.097041657241742e-05,477.45112072203693,477.45,0.0011207220369442439,2.3473076488516994e-06
circle2,41,1883.236906845017,1883.2,0.0369068450170289,1.9597942341243044e-05,481.921079279971,481.92,0.001079279971008873,2.2395417725117716e-06
circle2,42,1867.879467754714,1867.9,0.020532245286176476,1.099215444412253e-05,485.90578416177084,485.91,0.00421583822918592,8.676170955909364e-06
circle2,43,1852.403334032595,1852.4,0.0033340325949211547,1.7998448471826574e-06,489.4012231073894,489.4,0.0012231073894213296,2.499197771600592e-06
circle2,44,1836.8240888334653,1836.8,0.024088833465384596,1.311456525772245e-05,492.403876506104,492.4,0.003876506104006694,7.872676896845438e-06
